Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cogmento,Chrome 122.0.0.0,,,19-03-2024 13:45:53,19-03-2024 14:04:28,18m - 34.692s,FAILED
,,,,,,,
Test Cases/Login/TC002 - Login Invalid,Chrome 122.0.0.0,,,19-03-2024 13:45:54,19-03-2024 13:49:15,3m - 20.568s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,19-03-2024 13:45:55,19-03-2024 13:46:03,8.019s,PASSED
"navigateToUrl(""https://ui.cogmento.com/"")",Chrome 122.0.0.0,,,19-03-2024 13:46:03,19-03-2024 13:46:10,7.121s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_Cogmento CRM/input_Login_email""), ""frutaman21@gmail.com"")",Chrome 122.0.0.0,,,19-03-2024 13:46:10,19-03-2024 13:47:11,1m - 1.281s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Page_Cogmento CRM/input_Login_password""), ""DRYm5FX+MaR6xMvfjTooZA=="")",Chrome 122.0.0.0,,,19-03-2024 13:47:11,19-03-2024 13:47:42,31.104s,PASSED
"click(findTestObject(""Object Repository/Login/Page_Cogmento CRM/div_Login""))",Chrome 122.0.0.0,,,19-03-2024 13:47:42,19-03-2024 13:48:13,30.461s,PASSED
"verifyElementText(findTestObject(""Login_notification/Page_Cogmento CRM/p_Invalid login""), ""Invalid login"")",Chrome 122.0.0.0,,,19-03-2024 13:48:13,19-03-2024 13:48:43,30.255s,PASSED
takeScreenshot(),Chrome 122.0.0.0,,,19-03-2024 13:48:43,19-03-2024 13:49:14,30.343s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,19-03-2024 13:49:14,19-03-2024 13:49:15,1.101s,PASSED
,,,,,,,
Test Cases/Login/TC001 - Login Valid,Chrome 122.0.0.0,login Valid (positive) expected: masuk ke laman dahsboard,,19-03-2024 13:49:15,19-03-2024 13:52:07,2m - 51.866s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,19-03-2024 13:49:15,19-03-2024 13:49:18,3.152s,PASSED
"navigateToUrl(""https://ui.cogmento.com/"")",Chrome 122.0.0.0,,,19-03-2024 13:49:18,19-03-2024 13:49:25,6.297s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_Cogmento CRM/input_Login_email""), ""frutaman21@gmail.com"")",Chrome 122.0.0.0,,,19-03-2024 13:49:25,19-03-2024 13:50:26,1m - 0.862s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Page_Cogmento CRM/input_Login_password""), ""A7XJPV0S6sHhhsKzpg571w=="")",Chrome 122.0.0.0,,,19-03-2024 13:50:26,19-03-2024 13:50:56,30.456s,PASSED
"click(findTestObject(""Object Repository/Login/Page_Cogmento CRM/div_Login""))",Chrome 122.0.0.0,,,19-03-2024 13:50:56,19-03-2024 13:51:27,30.839s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Login/Page_Cogmento CRM/b_Recto Studies Library and Archive""))",Chrome 122.0.0.0,,,19-03-2024 13:51:27,19-03-2024 13:51:58,30.813s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,19-03-2024 13:51:58,19-03-2024 13:52:07,9.064s,PASSED
,,,,,,,
Test Cases/Search/TC005 - Add New Contact,Chrome 122.0.0.0,,,19-03-2024 13:52:07,19-03-2024 13:53:30,1m - 22.865s,FAILED
"openBrowser("""")",Chrome 122.0.0.0,,,19-03-2024 13:52:08,19-03-2024 13:52:18,10.121s,PASSED
"navigateToUrl(""https://ui.cogmento.com/"")",Chrome 122.0.0.0,,,19-03-2024 13:52:18,19-03-2024 13:52:28,10.013s,PASSED
"setText(findTestObject(""Object Repository/Add Contact/Page_Cogmento CRM/input_Login_email""), ""frutaman21@gmail.com"")",Chrome 122.0.0.0,,,19-03-2024 13:52:28,19-03-2024 13:52:30,2.751s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Add Contact/Page_Cogmento CRM/input_Login_password""), ""A7XJPV0S6sHhhsKzpg571w=="")",Chrome 122.0.0.0,,,19-03-2024 13:52:30,19-03-2024 13:52:32,1.307s,PASSED
"click(findTestObject(""Object Repository/Add Contact/Page_Cogmento CRM/div_Login""))",Chrome 122.0.0.0,,,19-03-2024 13:52:32,19-03-2024 13:52:33,0.793s,PASSED
"click(findTestObject(""Object Repository/Add Contact/Page_Cogmento CRM/span_Contacts""))",Chrome 122.0.0.0,,,19-03-2024 13:52:33,19-03-2024 13:52:38,5.772s,PASSED
"click(findTestObject(""Object Repository/Add Contact/Page_Cogmento CRM/button_Create""))",Chrome 122.0.0.0,,,19-03-2024 13:52:38,19-03-2024 13:52:42,3.374s,PASSED
"setText(findTestObject(""Object Repository/Add Contact/Page_Cogmento CRM/input_First Name_first_name""), ""Sydney"")",Chrome 122.0.0.0,,,19-03-2024 13:52:42,19-03-2024 13:52:45,3.257s,PASSED
"setText(findTestObject(""Object Repository/Add Contact/Page_Cogmento CRM/input_Last Name_last_name""), ""Sweeney"")",Chrome 122.0.0.0,,,19-03-2024 13:52:45,19-03-2024 13:52:48,3.011s,PASSED
"setText(findTestObject(""Object Repository/Add Contact/Page_Cogmento CRM/input_Company_search""), """")",Chrome 122.0.0.0,,,19-03-2024 13:52:48,19-03-2024 13:52:51,2.674s,PASSED
"click(findTestObject(""Object Repository/Add Contact/Page_Cogmento CRM/input_Company_search""))",Chrome 122.0.0.0,,,19-03-2024 13:52:51,19-03-2024 13:52:52,1.166s,PASSED
"click(findTestObject(""Object Repository/Add Contact/Page_Cogmento CRM/span_Add BukaLapak""))",Chrome 122.0.0.0,,,19-03-2024 13:52:52,19-03-2024 13:53:30,37.864s,FAILED
,,,,,,,
Test Cases/Search/TC004 - Edit Contact,Chrome 122.0.0.0,,,19-03-2024 13:53:30,19-03-2024 13:59:08,5m - 38.256s,PASSED
